rank,4FH202RH,I6N2NGMA,U9FPW41N,Y9LEU1VF,3TT9OJOP
1,学習欲,適応性,内省,分析思考,原点思考
2,着想,個別化,未来志向,責任感,適応性
3,最上志向,調和性,学習欲,学習欲,収集心
4,指令性,内省,収集心,個別化,学習欲
5,活発性,収集心,個別化,達成欲,内省
6,戦略性,公平性,親密性,最上志向,
7,達成欲,運命思考,着想,着想,
8,目標志向,回復志向,最上志向,内省,
9,個別化,ポジティブ,分析思考,戦略性,
10,内省,分析思考,信念,自我,
11,収集心,アレンジ,自己確信,自己確信,
12,自我,成長促進,慎重さ,活発性,
13,未来志向,最上志向,目標志向,信念,
14,自己確信,共感性,運命思考,指令性,
15,アレンジ,戦略性,戦略性,運命思考,
16,共感性,学習欲,責任感,親密性,
17,信念,親密性,アレンジ,共感性,
18,原点思考,自己確信,規律性,調和性,
19,適応性,慎重さ,自我,収集心,
20,運命思考,信念,共感性,コミュニケーション,
21,親密性,自我,ポジティブ,慎重さ,
22,慎重さ,競争性,成長促進,目標志向,
23,責任感,包含,指令性,適応性,
24,社交性,着想,回復志向,成長促進,
25,ポジティブ,活発性,包含,アレンジ,
26,成長促進,原点思考,活発性,社交性,
27,競争性,目標志向,公平性,ポジティブ,
28,包含,規律性,適応性,公平性,
29,分析思考,責任感,コミュニケーション,包含,
30,回復志向,社交性,達成欲,未来志向,
31,公平性,指令性,競争性,回復志向,
32,コミュニケーション,コミュニケーション,原点思考,規律性,
33,規律性,未来志向,社交性,競争性,
34,調和性,達成欲,調和性,原点思考,
